2022-04-25|14:45:30|Home Utilities|Utility Company|-120.00
2022-06-02|16:40:10|Rent Payment|Landlord|-800.00
2022-07-18|17:15:00|Writing Contest Prize|Magazine|50.00
2022-08-15|10:00:00|Credit Card Bill|Bank|-200.00
2022-09-10|13:00:20|Music Performance|Local Venue|150.00
2022-09-10|13:00:20|App Purchase|Google|-3.99
2022-09-20|15:30:10|Insurance Premium|Insurance Company|-150.00
2022-10-05|22:10:55|Cashback Reward|Amazon|10.00
2022-10-30|18:20:00|Grocery Shopping|Supermarket|-70.68
2022-11-15|11:55:20|Phone Bill|Mobile Carrier|-40.00
2022-11-18|11:30:45|Freelance Web Development|Client D|400.00
2022-11-18|11:30:45|Electronics Purchase|Amazon|-250.00
2022-12-10|14:20:00|Online Course Payment|Udemy|30.00
2022-12-10|14:20:00|Book Purchase|Amazon|-15.00
2023-01-08|12:30:00|Google Opinion Rewards|Google|20.00
2023-01-08|12:30:00|Car Loan Installment|Bank|-350.00
2023-01-30|16:30:10|Design Consultation|Client E|120.00
2023-02-08|09:10:00|Internet Bill|ISP|-60.00
2023-02-15|08:20:30|Stock Dividends|Investment Firm|100.00
2023-03-02|13:45:00|Medical Bill|Hospital|-200.00
2023-03-05|10:45:00|Art Sale|Online Art Gallery|250.00
2023-03-05|10:45:00|Google Play Credit Redemption|Google|-20.00
2023-04-10|08:20:45|Utility Bill|Electric Company|-90.00
2023-04-20|09:15:00|Google Drive Subscription|Google|-10.00
2023-04-20|09:15:00|Consultation Fee|Dr. Smith|80.00
2023-05-25|09:30:45|Photography Gig|Client C|200.00
2023-05-25|09:30:45|Amazon Prime Membership Renewal|Amazon|-99.99
2023-06-02|16:40:10|Ad Revenue|Google|100.00
2023-07-10|13:00:20|Tutoring Session|Student B|50.00
2023-08-10|19:40:45|Part-time Job Payment|Employer F|300.00
2023-08-15|09:30:45|Refund for Returned Item|Amazon|50.00
2023-09-05|08:45:30|Freelance Writing Gig|Client A|350.00
2023-10-30|18:20:00|Grocery Shopping|Supermarket|-50.75
2023-11-18|11:30:45|Art Commission|Online Marketplace|150.00
2024-01-29|15:00:00|Monthly subscription fee|Netflix|-12.99
2024-03-15|13:15:00|Freelance graphic design work|Client A|350.00
2024-04-08|14:40:00|Consultation fee|Dr. Smith|-75.00
2024-04-30|13:54:21|Movie tickets|AMCM|-25.0
2024-04-30|14:04:16|Paycheck|YearUp|100.0
2024-04-30|14:04:54|M Pizza |Pizza Hut |-10.0
2024-04-30|14:05:18|Zell|Julian|-25.0
2024-04-30|14:26:45|Birthday money |Friend|20.0
2024-04-30|14:28:10|Lottery |California Lottery|1000.0
2024-04-30|14:31:09|PC Monitor |Amazon|-70.0
2024-05-01|09:18:18|Refund|Sony|60.0
2024-05-01|09:18:41|Game|sony|-60.0
2024-05-01|12:56:54|BirthDay money|Family|50.0
2024-05-01|14:22:06|Soda|BallPark|-8.0
2024-05-12|14:20:00|Stock Dividends|Investment Firm|200.00
2024-05-25|14:45:30|Home Utilities|Utility Company|-150.00
2024-06-25|14:45:30|Home Utilities|Utility Company|-150.00
2024-07-20|09:45:20|Printer ink cartridges|Office Depot|-45.75
2024-08-02|16:40:10|Rent Payment|Landlord|-1000.00
2024-08-03|18:20:10|Groceries|Local Market|-55.30
2024-09-12|12:30:00|Web hosting renewal|GoDaddy|-120.00
2024-10-05|14:20:45|Laptop repair service|Tech Solutions|-200.00
2024-05-01|15:58:30|Pizza|Blaze|-14.0
2024-05-01|16:41:14|food|pizza hut|-15.0
2024-05-01|16:42:49|Paycheck|YearUp|100.0
2024-05-01|17:01:54|Store refund|Ross|15.0
2024-05-01|17:05:39|Venmo|Friend|10.0
2024-05-01|17:09:50|TrustFund|Bank|400.0
2024-05-01|17:12:52|Gift|Mall|-30.0
2024-05-01|17:17:09|keyboard|google |-40.0
2024-05-01|18:39:35|Savings|Julian|100.0
2024-05-01|19:49:19|Helped a friend |friend|10.0
2024-05-01|19:49:58|water|six flags|-8.0
2024-05-01|21:57:22|Bonus|Job|300.0
2024-05-01|21:58:40|Ticket|Speeding|-200.0
2024-05-01|21:59:19|Pay|Job|150.0
2024-05-01|22:08:05|Grand Prize |TVV Show|500.0
2024-05-01|22:31:04|Pay Check|Overtime|400.0
